Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.52     0.00   123849     0.00     0.00  std::lock_guard<std::mutex>::~lock_guard()
  0.00      5.52     0.00   116828     0.00     0.00  std::array<std::mutex, 8ul>::operator[](unsigned long)
  0.00      5.52     0.00   111480     0.00     0.00  std::lock_guard<std::mutex>::lock_guard(std::mutex&)
  0.00      5.52     0.00   108993     0.00     0.00  std::__array_traits<std::mutex, 8ul>::_S_ref(std::mutex const (&) [8], unsigned long)
  0.00      5.52     0.00   100787     0.00     0.00  std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::push_back(std::pair<unsigned char*, unsigned long long>&&)
  0.00      5.52     0.00   100169     0.00     0.00  std::array<std::condition_variable, 8ul>::operator[](unsigned long)
  0.00      5.52     0.00    99657     0.00     0.00  unsigned char*& std::forward<unsigned char*&>(std::remove_reference<unsigned char*&>::type&)
  0.00      5.52     0.00    98640     0.00     0.00  std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::back()
  0.00      5.52     0.00    98474     0.00     0.00  unsigned long long&& std::forward<unsigned long long>(std::remove_reference<unsigned long long>::type&)
  0.00      5.52     0.00    97748     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<unsigned char*, unsigned long long> >::construct<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long> >(std::pair<unsigned char*, unsigned long long>*, std::pair<unsigned char*, unsigned long long>&&)
  0.00      5.52     0.00    97546     0.00     0.00  std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*>::operator--()
  0.00      5.52     0.00    91206     0.00     0.00  operator new(unsigned long, void*)
  0.00      5.52     0.00    61173     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, void>(long const&)
  0.00      5.52     0.00    34897     0.00     0.00  std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::begin()
  0.00      5.52     0.00    30976     0.00     0.00  main::{lambda()#1}::operator()() const
  0.00      5.52     0.00    28665     0.00     0.00  std::deque<std::pair<unsigned char*, unsigned long long>, std::allocator<std::pair<unsigned char*, unsigned long long> > >::front()
  0.00      5.52     0.00    26930     0.00     0.00  std::cv_status std::condition_variable::__wait_until_impl<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::unique_lock<std::mutex>&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      5.52     0.00    25224     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> >::count() const
  0.00      5.52     0.00    16268     0.00     0.00  bool std::operator==<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*>(std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*> const&, std::_Deque_iterator<std::pair<unsigned char*, unsigned long long>, std::pair<unsigned char*, unsigned long long>&, std::pair<unsigned char*, unsigned long long>*> const&)
  0.00      5.52     0.00    15852     0.00     0.00  void std::allocator_traits<std::allocator<std::pair<unsigned char*, unsigned long long> > >::destroy<std::pair<unsigned char*, unsigned long long> >(std::allocator<std::pair<unsigned char*, unsigned long long> >&, std::pair<unsigned char*, unsigned long long>*)
  0.00      5.52     0.00    14520     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> > std::literals::chrono_literals::__check_overflow<std::chrono::duration<long, std::ratio<1l, 1000000l> >, (char)53>()
  0.00      5.52     0.00    14239     0.00     0.00  void __gnu_cxx::new_allocator<std::pair<unsigned char*, unsigned long long> >::destroy<std::pair<unsigned char*, unsigned long long> >(std::pair<unsigned char*, unsigned long long>*)
  0.00      5.52     0.00    13439     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, std::ratio<1l, 1l>, void>(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.52     0.00    13138     0.00     0.00  bool std::condition_variable::wait_until<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, main::{lambda()#1}>(std::unique_lock<std::mutex>&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, main::{lambda()#1})
  0.00      5.52     0.00    13103     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::ratio<1l, 1l>, long, true, true>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      5.52     0.00    13053     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::ratio<1000000000l, 1l>, long, false, true>::__cast<long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.52     0.00    12824     0.00     0.00  std::unique_lock<std::mutex>::~unique_lock()
  0.00      5.52     0.00    12711     0.00     0.00  std::mutex* std::__addressof<std::mutex>(std::mutex&)
  0.00      5.52     0.00    12709     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, long, std::ratio<1l, 1l> >(std::chrono::duration<long, std::ratio<1l, 1l> > const&)
  0.00      5.52     0.00    12569     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type> std::chrono::operator+<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, long, std::ratio<1l, 1000000l> >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  0.00      5.52     0.00    12551     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::value, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      5.52     0.00    12372     0.00     0.00  std::unique_lock<std::mutex>::mutex() const
  0.00      5.52     0.00    12365     0.00     0.00  std::fpos<__mbstate_t>::fpos(long)
  0.00      5.52     0.00    12303     0.00     0.00  std::enable_if<std::chrono::__is_duration<std::chrono::duration<long, std::ratio<1l, 1l> > >::value, std::chrono::duration<long, std::ratio<1l, 1l> > >::type std::chrono::duration_cast<std::chrono::duration<long, std::ratio<1l, 1l> >, long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      5.52     0.00    12265     0.00     0.00  __gthread_cond_timedwait(pthread_cond_t*, pthread_mutex_t*, timespec const*)
  0.00      5.52     0.00    12200     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> >::duration<long, std::ratio<1l, 1000000l>, void>(std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  0.00      5.52     0.00    12193     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> > std::literals::chrono_literals::operator"" us<(char)53>()
  0.00      5.52     0.00    12133     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000l> >::duration<long, void>(long const&)
  0.00      5.52     0.00    12073     0.00     0.00  std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >::time_point(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      5.52     0.00    11941     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1l> >, std::ratio<1l, 1000000000l>, long, true, false>::__cast<long, std::ratio<1l, 1000000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&)
  0.00      5.52     0.00    11926     0.00     0.00  std::unique_lock<std::mutex>::lock()
  0.00      5.52     0.00    11919     0.00     0.00  std::mutex::native_handle()
  0.00      5.52     0.00    11908     0.00     0.00  std::chrono::duration<long, std::ratio<1l, 1000000000l> > std::chrono::__duration_cast_impl<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::ratio<1000l, 1l>, long, false, true>::__cast<long, std::ratio<1l, 1000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  0.00      5.52     0.00    11897     0.00     0.00  std::common_type<std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000l> > >::type std::chrono::operator+<long, std::ratio<1l, 1000000000l>, long, std::ratio<1l, 1000000l> >(std::chrono::duration<long, std::ratio<1l, 1000000000l> > const&, std::chrono::duration<long, std::ratio<1l, 1000000l> > const&)
  0.00      5.52     0.00    11810     0.00     0.00  std::cv_status std::condition_variable::wait_until<std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::unique_lock<std::mutex>&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
  0.00      5.52     0.00    11680     0.00     0.00  std::unique_lock<std::mutex>::unique_lock(std::mutex&)
  0.00      5.52     0.00    11658     0.00     0.00  bool std::chrono::operator< <std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> >, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >(std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > > const&)
